effect_id,brand_id,model_ids,effect_name,version,collection,effect_types,tool_types,plugin_formats,plugin_notes,workflow_notes,description,recording_notes,artist_reference,attributes,tags,parent_ids
9d527ff2-674a-4fdb-a0cc-7bed5583ce31,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ef0c872b-fc31-42c4-9934-2039468a54fd,SVX-OCT,,Amplitube SVX,Pitch Tools,,,,Boss OC-2 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
ff7dbfb9-f970-4cba-9a3d-0a18b0bcafd4,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,3814912c-c163-409f-96f6-fb4423419b66,Satch Overdrive,,Joe Satriani Collection,Harmonic Coloration,,,Early '80s Japanese Version,Boss OD-1 TOP,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d5a70bb9-6d67-4651-a242-fb0eb07e2615,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,1b168b3a-fb23-4620-85f6-cb31a7d7187a,X-DRIVE (Yellow Setting),,X-Gear (X-DRIVE),Harmonic Coloration,,,,Boss SD-1 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
c7cd98d3-0cb6-42ec-b5b1-4ce28bb9239c,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,4d3dc65d-205b-40bf-93f3-83bcab3416ec,Red Special,,Brian May Collection,Dynamics,,,based on Brian May's Red Special custom guitar,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
a297c0a3-6f5a-4441-a601-c91d73f1bfe8,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,399123fa-2bfe-4d5c-b4ba-1583498739d8,Booster,,L.A. Rocker Collection,Harmonic Coloration,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
bf46ebb7-6386-4550-9257-c0dc9885ae10,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,526f5a3e-dee6-4b95-bcb8-8be5b7926675,2x12 V3M,,Carvin Collection,,,,2x12 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
82c86b59-4d34-4588-91c0-b14188a17962,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,99131aec-4bf5-473f-83f5-281aeb25ecfd,CV G12-16,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1ab1612c-7ab1-4fa9-a431-4dce7c6c4c02,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ce55f55a-2dd6-4343-a9c3-2957d557dbcc,V3M,,Carvin Collection,,,,(high-gain),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d49de034-834e-4650-bc5c-337e04d61460,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b8ecc47a-09d5-4275-8bc2-5e8d9b8a2f8b,Brit Alnico S,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
f84d493e-9155-417a-b158-0add3139a035,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,376cf751-5094-4af0-a67f-b4a282ebaf5d,1x12 Open Vintage,,Amplitube Collection,,,,1x12 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
923a4b85-a2e6-4113-b6ee-32d9dc0cf51d,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ddf99b57-5be8-4e9d-86b8-e6055ccd7d7e,Brit Alnico B,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
32d005e6-91fe-4d59-9e4f-40c28d6673d2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f2bf00f3-4805-4115-bde2-f931bff96b7d,Brit Darkness,,,,,,(Black Shadow - Tuned for Mesa/Boogie) 1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
8e1a9f78-3110-4c55-a197-f64aabacc50d,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,3227765a-e1e3-47df-8bdd-2ef599751400,Brit 80,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1ca2886d-2d80-435e-99be-e551ab9195fc,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b586424c-39d3-42ac-8abd-0acc7375a79c,Brit Anniversary 1,,,,,,1x12 CAB (Speaker); 8 ohm,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
3d45fb14-91eb-474e-babe-ae1ee036d9d4,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b586424c-39d3-42ac-8abd-0acc7375a79c,Brit Anniversary 2,,,,,,1x12 CAB (Speaker); 16 ohm,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1e9a41ab-9205-4b72-8c13-1711eaddb4a1,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,1dcc2100-0c2e-4e3f-81ab-428d2efe1ac4,Brit 100,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1c2f5fc6-0350-489d-9470-0f6906f2ca95,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,81077865-69ac-472c-9e47-82c0b0f1b8fc,Brit Green,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
36ebf3ba-ea54-4bc6-9c20-e2fdb9a1d1cc,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a1d47dbb-a29e-4d5c-bdc3-33a4c945ef14,Brit 75,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
e1044d66-eded-4e9f-baa3-b27cd5320e55,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,9384ad82-59a3-4c02-b20c-911cdcf6e195,Brit Alnico G,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
5912a959-af2d-4cfd-a8b4-e826092b971a,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,4a51c6ff-4b3c-481e-a923-b80409f3a356,Brit Silver,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
6a657671-d8c3-4938-aa98-169c64003dbe,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit V1,,,,,,"1x12 CAB (Speaker); 16 ohm, Mesa/Boogie custom",,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
82b61a6a-5776-456d-9a93-f598ca2d88a6,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit V2,,,,,,"1x12 CAB (Speaker); 8 ohm, 60W, Mesa/Boogie custom",,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
71ce9989-8d42-4c8f-ab41-07934f7dfbbb,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit V3,,,,,,1x12 CAB (Speaker); 70W Marshall custom,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
520c5cc8-0766-4284-8321-bf2e11e1e03d,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit Vintage 16A,,,,,,"1x12 CAB (Speaker); 16 ohm, 60W (Chinese manufature)",,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
4bce4157-066f-4fe9-b493-68314ad25013,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit Vintage 16B,,,,,,"1x12 CAB (Speaker); 16 ohm, 60W (UK manufature)",,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
2e7f2d59-e126-4009-8c55-3969781dae63,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0067e1f5-df2e-400a-af9b-301a3177898f,Brit Vintage 8,,,,,,"1x12 CAB (Speaker); 8 ohm, 60W (Chinese manufature)",,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
63c7a1b3-4037-483b-affa-ed3d4acae6e1,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a12ad6d4-10d4-4704-beb0-4ac24154c8a3,Fuzz Age,,Electric Gypsy Collection,Harmonic Coloration,,,,Dallas Arbiter Fuzz Face ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
750a9111-6e94-43c8-bf74-18fd1cc09efe,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a12ad6d4-10d4-4704-beb0-4ac24154c8a3,Fuzz Age 2,,Electric Gypsy Collection,Harmonic Coloration,,,,Dallas Arbiter Fuzz Face ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
f17a2910-e61f-465f-965d-175b46325d67,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a12ad6d4-10d4-4704-beb0-4ac24154c8a3,X-DRIVE (Fuzzface Setting),,X-Gear (X-DRIVE),Harmonic Coloration,,,,Dallas Arbiter Fuzz Face ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
b5dbf4fd-44f5-4146-a466-8bc015d11bae,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,87fcb573-45cc-4dbc-a6ac-6f43e785efdf,VHandcraft 4,,Amplitube Collection,,,,(high-gain),Diezel VH4 ALT (Tone),,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
ac7a2ebb-bc97-4c69-9db9-0effa88068c7,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,77a4f4e5-0274-4906-9004-ca9545207133,Wharmonator,,Amplitube Metal,Pitch Tools,,,,DigiTech Whammy ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1f905cd1-16fa-499f-8da7-0a47d719c676,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,80bf9d00-86b6-4068-a067-75d7b48418cd,1x12 MAZ 18 Jr.,,Dr. Z Collection,,,,1x12 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
7521697d-3706-4bb7-876e-0bce6a0d850d,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,80bf9d00-86b6-4068-a067-75d7b48418cd,MAZ 18 Jr,,Dr. Z Collection,,,,(clean),Dr. Z MAZ 18 Jr ALT (Tone),,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
7879fcba-61ef-4b35-b4e7-04c2f23352b1,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f5e44cec-1f45-438b-aacf-80fe48db1785,Z Wreck,,Dr. Z Collection,,,,(crunch),Dr. Z Z Wreck ALT (Tone),,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
94106550-7742-4be9-949b-e45b55109362,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,e569f29c-c24b-4de6-b33a-b66c1e025d7c,2x12 Z Wreck,,Dr. Z Collection,,,,2x12 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d6a375c0-a49b-4a63-8d33-3046f237b76b,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,10b1acdd-2360-41a6-b1cb-78d650b01f08,Bass Wah,,Amplitube SVX,Modulation,,,,Dunlop 105Q Cry Baby Bass Wah  ALT (Tone),,,,,"Bass,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
71e14a48-1f44-4c16-b864-a6434ee98da2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,1177618c-ee94-4d15-be4b-1942cecaf979,Dime Wah,,Dimebag Darrell - CFH,Modulation,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
9334d44e-9c4d-47fc-a6b7-f8756bdc5da2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,c038ddc9-5db1-4d75-9427-2ad1df0929b2,May Wah,,Brian May Collection,Modulation,,,,Dunlop Cry Baby Wah TOP,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
c3df07a6-dbad-46b7-9dfd-676e73b90197,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,c038ddc9-5db1-4d75-9427-2ad1df0929b2,Wah,,Amplitube Collection,Modulation,,,,Dunlop Cry Baby Wah TOP,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
82383cba-c38d-44be-b494-7c300605ecf5,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0bf74c75-a0ce-4daa-9b7a-6a44fbe75c8c,WahDist,,L.A. Rocker Collection,Modulation,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
f7e0b4e3-e46e-4ef6-b9ae-836bc0e382d9,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b42f1bf7-92a3-43aa-be42-4e24c01cb559,TERC,,Fulltone Collection,Modulation,,,,Dytronics CS-5 ALT (Tone),,,,,Modeled,effects:82257eff-56fc-40a1-b9cc-567c68a11861
