library_id,brand_id,model_ids,library_name,notes,attributes,parent_ids
bbe5f371-2ed9-43fe-b135-b9a21568625c,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Microtuner,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
abca120d-a3d3-4d78-a142-c8e076455b1c,ec9752d6-202b-11f1-a0d3-0072ee78ad39,,MIDI Tools,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
2e3a1e2a-d011-453b-bd5b-1803c951b679,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Mood Reel,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
4da672de-5a6e-43c1-b67d-a54ecd205a86,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Orchestral Brass,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
1994739c-50c9-4128-8c74-3fd750cc12c3,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Orchestral Mallets,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
97ba2c21-3117-4f29-a9cb-43031b3e5dbc,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Orchestral Strings,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
6bc13e53-f2ec-4388-8659-8fd351f7f0b9,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Orchestral Woodwinds,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
52435802-ed56-4d2b-b8f6-38ed8101873e,cb0e8676-202a-11f1-a0d3-0072ee78ad39,,Performance Pack,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
898859e3-3ff3-4437-a0fa-94f719342903,9d35eebe-202b-11f1-a0d3-0072ee78ad39,,PitchDrop,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
60213111-28c3-46ab-bc43-c2c385814e23,2549948a-202d-11f1-a0d3-0072ee78ad39,,PitchLoop89,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
245f123f-6104-455d-b8d3-0a1fb545ace5,c20ffd0e-202d-11f1-a0d3-0072ee78ad39,,Probability Pack,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
