Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
Harmochord,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Koestler Harmochord,,,,,,,
Hohner Clavinet C,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Hohner Clavinet C,"model from legendary Philadelphia soul factory, Sigma Sound Studios (70s producers Thom Bell, Gamble and Huff) ",,,,,,
Hohner Clavinet-Pianet DUO,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Hohner Clavinet-PIanet DUO,,,,,,,
Hohner Pianet M,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Hohner Pianet M,,,,,,,
Hohner Pianet N,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Hohner Pianet N,"model of unit from Zac Rae, LA session keyboardist. ",,,,,,
Hohner Pianet T,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Hohner Pianet T,,,,,,,
Horn Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Danelectro Longhorn Bass,,"4 Strings; Passive, Horn BSC + NSC",(rock and roll) ,,,,
Imperial Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fodera Imperial ,,6 Strings; Active Imperial BHB + NHB (Custom),,,,,
impOSCar3,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.0,"AU, VST3",OSC OSCar,,,,,,,
Instruments Collection,Spectrasonics,"Drums & Percussion, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Woodwinds","Drums & Percussion, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Woodwinds",,,,Omnisphere,,,,,,,,,,
Japan Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Ibanez SR (Soundgear) ,,"4 Strings Active, Japan BHB + NHB",(versatile)  ,,,,
Jazzy,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Gretsch USA Custom,,4-piece set,"Designed for bebop or more subtle dynamic jazz played at lower volumes, this kit features a bright, balanced sound. Manufactured heads, pre-muffled bass drum heads and 100% mahogany shells make it perfect for jazz purists and many other music genres. ",,,,
JD-800 Crystal Rhodes,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Roland JD-200,"model of  Eric Persing's ""Crystal Rhodes"" patch ",,,,,,
Jun-6 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.6.6.6366,"AU, VST3",Roland Juno-6,,,,,,,
Junatik,Native Instruments,Synth,Synth,,Modeled,Modeled,Reaktor,,,Roland Juno-60,,polyphonic analog synth,,,,,
Jup-8 V4,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,4.6.4.6366,"AU, VST3",Roland Jupiter-8,,,,,,,
Jup-8000 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.1.6366,"AU, VST3",Roland JP-8000,,,,,,,
Kaleidon,Native Instruments,Synth,Synth,,,,Reaktor,,,,,"largest synth in Reaktor library (Carbon's ""big brother"")",,,,,
Keyscape,Spectrasonics,Keyboards,Keyboards,"Plugin, Standalone",,,,1.5.2,"AU, VST3",,,,,,,,
Kontakt 7,Native Instruments,Container,Container,"Plugin, Standalone",,,,7.10.9,"AU, VST3",,,,,,,,
Kontakt 8,Native Instruments,Container,Container,"Plugin, Standalone",,,,8.8.0,"AU, VST3",,,,,,,,
KORG MS-20 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.3.4.6366,"AU, VST3",Korg MS-20,,,,,,,
Krypt,Native Instruments,"Drums & Percussion, Synth, Rhythm","Drums & Percussion, Rhythm, Synth",,Drums,Drums,Reaktor,,,,,granular synth / sequencer (Drum machine) ,,,,,
L3,Native Instruments,"Drums & Percussion, Synth, Rhythm","Drums & Percussion, Rhythm, Synth",,Drums,Drums,Reaktor,,,,,sequenced drum loop recycler,,,,,
LA Custom C7 Grand Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Yamaha C7,model of custom-modified C7 owned by Jim Wilson ,,,,,,
Lazerbass,Native Instruments,"Bass, Synth","Bass, Synth",,Bass,Bass,Reaktor,,,,,monophonic bass synth,,,,,
LegacyCell,Korg,Container,Container,"Plugin, Standalone",,,,"1.4.2 (AU)
1.8.0 (VST3)","AU, VST3",,Combines MS-20 and Polysix,,,,,,
Liberty Upright,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Koch & Korselt Upright,,,,,,,
Liberty Upright Fine-tuned,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Koch & Korselt Upright,,Fine-Tuned version of Liberty Upright,,,,,
Limelite,Native Instruments,Sampling,Sampling,,,,Reaktor,,,,,samples / sequencer,,,,,
Live Keyboardist,Spectrasonics,"Guitars, Keyboards, Pads & Textures, Strings, Synth, Woodwinds, Vocal","Guitars, Keyboards, Pads & Textures, Strings, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Lurker,Native Instruments,"Rhythm, Sound Design","Rhythm, Sound Design",,,,Reaktor,,,,,effects; rhythm and sequence maker,,,,,
M-Tron MkII,GForce,"Keyboards, Synth","Keyboards, Synth","Plugin, Standalone",Modeled,Modeled,,1.2.0,"AU, VST3","Chamberlin MusicMaster
Mellotron Mk I
Mellotron Mk II",,,,,,,
M-Tron Pro IV,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.2,"AU, VST3",Mellotron M400,,,,,,,
M1,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.4.1,"AU, VST3",Korg M1,,,,,,,
Maschine 3,Native Instruments,"Rhythm, Sampling, Synth, Bass","Bass, Rhythm, Sampling, Synth","Plugin, Standalone",Bass,Bass,,3.4.1,VST3,,,"groovebox and sampler. Drum, Bass and Poly Synths, w/ effects",,,,,
Massive,Native Instruments,Synth,Synth,"Plugin, Standalone",,,,1.7.0,VST3,,,sound creation synthesis engine,,,,,
Massive 1.1,Native Instruments,"Synth, Sampling","Sampling, Synth",,,,Reaktor,,,,,samples; signal shaping; powerful step sequencer,,,,,
Massive X,Native Instruments,Synth,Synth,Plugin,,,,1.6.1,"AU, VST3",,,sound creation synthesis engine,,,,,
Matrix-12 V2,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.13.4.6366,"AU, VST3",Oberheim Matrix 12,,,,,,,
Mellotron V,Arturia,"Keyboards, Sampling","Keyboards, Sampling","Plugin, Standalone",Modeled,Modeled,,1.9.5.6366,"AU, VST3",Mellotron Mk II,,,,,,,
Memory Drum 2,Native Instruments,"Sampling, Drums & Percussion, Rhythm","Drums & Percussion, Rhythm, Sampling",,Drums,Drums,Reaktor,,,,,drum sampler ,,,,,
Metal,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,8-piece set; Custom cymbal collection that includes 6 custom-made cymbals,"Characterized by a dark and fat color, making it perfect for genres that need a punchy rhythm section like metal and even more aggressive styles. Cymbals perfectly match and complete the shells’ tonality.",,,,
Metal Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Dingwall Combustion ,,"5 Strings; Active,  Metal, BSC + NSC",(metal) ,,,,
Metaphysical Function,Native Instruments,Sound Design,Sound Design,,,,Reaktor,,,,,,,,,,
microKORG,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.1.0,"AU, VST3",Korg microKorg,,,,,,,
Mini Student Butterfly Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Wurlitzer Butterfly,,,,,,,
Mini V4,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,4.0.4.6366,"AU, VST3",Moog Minimoog Model D,,,,,,,
MiniBrute V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.6..6366,"AU, VST3",Arturia MiniBrute,,,,,,,
MiniFreak V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,4.0.2.6369,"AU, VST3",Arturia MiniFreak,,,,,,,
miniKorg,Korg,"Keyboards, Synth","Keyboards, Synth","Plugin, Standalone",Modeled,Modeled,,1.1.1,"AU, VST3",Korg MiniKorg 700,,,,,,,
Minimonsta2,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.2,"AU, VST3",Moog Minimoog Model D,,,,,,,
MK-80 Digital Rhodes,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Roland MK80 Rhodes,"Eric Persing, Spectrasonics president, was Chief Sound Designer of Roland at the time of MK80's release",,,,,,
MKS-20 Digital Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Roland MKS20,"Eric Persing, Spectrasonics president, was Chief Sound Designer of Roland at the time of MKS20's release ",,,,,,
Modern J-Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Jazz Bass,,"4 Strings; Passive, Modern NSC & BSC Pickups",,,,,
MODO Bass 2,IK Multimedia,Container,Container,"Plugin, Standalone",,,,2.0.4,"AU, VST3",,,,,,,,
MODO Drum,IK Multimedia,Container,Container,"Plugin, Standalone",,,,1.5.0,"AU, VST3",,,,,,,,
Modular V3,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,3.13.4.6366,"AU, VST3",Moog System 55,,,,,,,
MonoPoly,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.4.2,"AU, VST3",Korg Mono/Poly (MP-4),,,,,,,
Moog Minimoog Synth,Universal Audio,Synth,Synth,Plugin,Modeled,Modeled,,1.4.16,UADx,Moog Minimoog Model D,,,,,,,
MS-20,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.4.2,"AU, VST3",Korg MS-20,,,,,,,
Nanowave,Native Instruments,Synth,Synth,,,,Reaktor,,,,,based on classic PPG / Waldorf WaveTable synths,,,,,
Newscool,Native Instruments,Synth,Synth,,,,Reaktor,,,,,sequencer based on John Conway's Life Model (1970s) ,,,,,
NY Grand S274,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Steinway New York D-274,Steinway & Sons,,,,,,
Oberheim DMX,GForce,"Drums & Percussion, Synth","Drums & Percussion, Synth","Plugin, Standalone","Drums, Modeled","Drums, Modeled",,1.1.0,"AU, VST3",Oberheim DMX,,,,,,,
Oberheim OB-1,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.0,"AU, VST3",Oberheim OB-1,,,,,,,
Oberheim OB-E,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.6.0,"AU, VST3",Oberheim Eight Voice,,,,,,,
Oberheim OB-EZ,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.2,"AU, VST3",Oberheim Eight Voice,,Simplified Interface. ,,,,,
Oberheim OB-X,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.1,"AU, VST3",Oberheim OB-X,,,,,,,
Oberheim SEM,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.6.1,"AU, VST3",Oberheim SEM,,,,,,,
Oddity3,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.1.2,"AU, VST3",ARP Odyssey,,,,,,,
Oki Computer 2,Native Instruments,Synth,Synth,,,,Reaktor,,,,,digital lo-fi wavetable synth,,,,,
Omni Vocal Beta,Yamaha,"Vocal, Synth","Synth, Vocal",Plugin,,,,1.06,VST3,,AI-powered vocal synthesis plugin developed by Yamaha and exclusively integrated into Steinberg Cubase 15. It allows users to generate realistic human singing by simply entering notes and lyrics directly into the Cubase Key Editor,,,,,,
Omnisphere,Spectrasonics,Container,Container,"Plugin, Standalone",,,,3.0.1c,"AU, VST3",,,,,,,,
Omnisphere Library,Spectrasonics,"Bass, Brass, Drums & Percussion, Guitars, Keyboards, Pads & Textures, Pipes, Rhythm, Sound Design, Strings, Synth, World Instruments, Woodwinds, Vocal","Bass, Brass, Drums & Percussion, Guitars, Keyboards, Pads & Textures, Pipes, Rhythm, Sound Design, Strings, Synth, Vocal, Woodwinds, World Instruments",,,,Omnisphere,,,,(Legacy) NOTE: (Various models on patch by patch basis),,,,,,
One,FabFilter,Synth,Synth,Plugin,,,,3.50,"AU, VST3",,,"Single Oscillator synthesizer, based on classics ""like"" Korg MS-10",,,,,
OP-Xa V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.7.4.6366,"AU, VST3",Oberheim OB-Xa,,,,,,,
Opal Morphing Synth,Universal Audio,Synth,Synth,Plugin,,,,1.3.16,UADx,,,hybrid Synthesis Engine,,,,,
Organic Vibes,Spectrasonics,"Keyboards, Pads & Textures, Rhythm, Synth, Woodwinds","Keyboards, Pads & Textures, Rhythm, Synth, Woodwinds",,,,Omnisphere,,,,,,,,,,
OVox Instrument,Waves,Synth,Synth,Plugin,,,,16.7.33,AU,,,,,,,,
Padshop,Steinberg,"Pads & Textures, Sound Design","Pads & Textures, Sound Design",Plugin,,,,2.2.0,"AU, VST3",,,"Granular synthesizer (ambient soundscapes, cinematic stextures, experimental sound design) ",,,,,
Photone,Native Instruments,Synth,Synth,,,,Reaktor,,,,,basic subtractive synth,,,,,
Piano V3,Arturia,Keyboards,Keyboards,"Plugin, Standalone",,,,3.3.4.6366,"AU, VST3",,,"Emulates 12 different types of acoustic pianos [ American Grand, German Grand, Japanese Grand, Pop Grand, Classical Upright, Jazz Upright, Pop Upright, Piano-bar Upright, Plucked Grand, Tack Upright, Glass Grand, Metal Grand]",,,,,
Pianoverse,IK Multimedia,Container,Container,"Plugin, Standalone",,,,1.0.11,"AU, VST3",,,,,,,,
Pigments,Arturia,"Sampling, Synth","Sampling, Synth","Plugin, Standalone",,,,7.0.0.6447,"AU, VST3",,,"hybrid synth (analog, Wavetable, Harmonic, Modal, Sample) ",,,,,
Plexi,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Ludwig Vistalite,,"""Zep"" configuration",,,,,
PolyMAX Synth,Universal Audio,Synth,Synth,Plugin,,,,1.0.16,UADx,,,"derived from ""golden age of polysynthesis"" (Jupiters, Oberheims, Prophets)",,,,,
Polysix,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.4.2,"AU, VST3",Korg Polysix,,,,,,,
Prophecy,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.7.0,"AU, VST3",Korg Prophecy,,,,,,,
Prophet-5 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.3.5.6366,"AU, VST3",Sequential Circuits Prophet-5,,,,,,,
Prophet-VS V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.3.4.6366,"AU, VST3",Sequential Circuits Prophet VS,,,,,,,
PS-3300,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.3,"AU, VST3",Korg PS-3300,,,,,,,
Punk Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Mark Hoppus Jazz Bass,(2000s),"4 Strings; Passive, Punk SC Pickups ","(punk, rock)",,,,
Pure LOFI,Arturia,"Sampling, Synth","Sampling, Synth","Plugin, Standalone",,,,1.0.1.6372,"AU, VST3",,,"Low-fidelity synthesizer Blend acoustic samples and digital oscillators, apply the charm of vintage samplers and dial in instant degradation with a powerful LoFi processor – embrace sonic imperfection.",,,,,
