Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
Studio,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,6-piece set. ,"Focused, versatile and punchy, this production champion has been featured on countless records. Starting life in the mid-1970s, it set a new studio standard by the early 1980s with piano lacquered all-birch shells and full-length flush-braced lugs.",,,,
Studio Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Yamaha TRB 5P,(1990s/2000s),"5 Strings; Active, Studio BSC + NSC",,,,,
Studio Upright,IK Multimedia,Bass,Bass,,Bass,Bass,MODO Bass 2,,,,,4 Strings; Jazz style upright/acoustig,"(jazz, pop, rock ballads) ",,,,
Studio Verse Instruments,Waves,Container,Container,"Plugin, Standalone",,,,16.0.30,AU,,,,,,,,
Subharmonic,Native Instruments,Pads & Textures,Pads & Textures,,,,Reaktor,,,,,pads / atmospheres; thick monophonic leads,,,,,
Sum Synth,Native Instruments,Synth,Synth,,,,Reaktor,,,,,additive synth,,,,,
Superior Drummer 3,Toontrack,"Drums & Percussion, Container","Container, Drums & Percussion","Plugin, Standalone",Drums,Drums,,3.4.2,"AU, VST3",,,,,,,,
Symphonic Brass  - Tuba Solo,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Bass Trombones a2,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Horn Solo,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Horns a2,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Tenor Trombone Solo,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Tenor Trombones a2,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Trumpet Solo,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Brass - Trumpets a2,Universal Audio,Brass,Brass,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds  - Flute Solo,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Bass Clarinet,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Bassoon a2,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Clarinet Solo,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Clarinets a2,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Flutes a2,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Oboes a2,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Symphonic Woodwinds - Piccolo Flute,Universal Audio,Woodwinds,Woodwinds,Plugin,,,,1.0.0,UADx,,,,,,,,
Synclavier V,Arturia,"Sampling, Synth","Sampling, Synth","Plugin, Standalone",Modeled,Modeled,,2.13.4.6366,"AU, VST3",New England Digital Synclavier II,,,,,,,
Synthi V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.9.4.6366,"AU, VST3",EMS Synthi AKS,,,,,,,
Synthx V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.7.6366,"AU, VST3",Elka Synthex,,,,,,,
Syntronik 2,IK Multimedia,Container,Container,"Plugin, Standalone",,,,2.1.3,"AU, VST3",,,Virtual synth suite,,,,,
Syntronik 2 99,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Yamaha SY99,Syntronik 2,,,,,,
Syntronik 2 Blau,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"PPG Wave 2.2
PPG Wave 2.3",Syntronik 2,,,,,,
Syntronik 2 Bully,IK Multimedia,"Bass, Synth","Bass, Synth",,Modeled,Modeled,Syntronik 2,,,"Moog Taurus Pedal Synthesizer (I)
Moog Taurus II
Moog Taurus III",Syntronik 2,,,,,,
Syntronik 2 DCO-X,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Roland JX-10
Roland JX-3P
Roland JX-8P",Syntronik 2,,,,,,
Syntronik 2 Galaxy,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Alesis Andromeda A6,Syntronik 2,,,,,,
Syntronik 2 Harpy 260,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,ARP 2600,Syntronik 2,,,,,,
Syntronik 2 J-60,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Roland Juno-60,Syntronik 2,,,,,,
Syntronik 2 J-8,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Roland Jupiter-8,Syntronik 2,,,,,,
Syntronik 2 M-Poly,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Korg Mono/Poly (MP-4)
Korg Polysix",Syntronik 2,,,,,,
Syntronik 2 Memory-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Moog Memorymoog,Syntronik 2,,,,,,
Syntronik 2 Minimod,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Moog Minimoog Model D
Moog Minimoog Voyager
Moog System 55",Syntronik 2,,,,,,
Syntronik 2 Modulum,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Alesis Andromeda A6
EMS VCS3
Moog System 55",Syntronik 2,,,,,,
Syntronik 2 Noir,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Moog Prodify
Moog Micromoog
Moog Multimoog",Syntronik 2,,,,,,
Syntronik 2 OXa,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Oberheim OB-X
Oberheim OB-Xa",Syntronik 2,,,,,,
Syntronik 2 Polymorph,IK Multimedia,"Brass, Keyboards, Strings, Synth, Woodwinds, Bass","Bass, Brass, Keyboards, Strings, Synth, Woodwinds",,Modeled,Modeled,Syntronik 2,,,"Moog Polymoog 203a
Moog Opus 3
Moog Rogue
Realistic Concertmate MG-1",Syntronik 2,,,,,,
Syntronik 2 Pro-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Sequential Circuits Prophet-5,Syntronik 2,,,,,,
Syntronik 2 SAM,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Oberheim SEM,Syntronik 2,,,,,,
Syntronik 2 SH-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Roland SH-2
Roland SH-5
Roland SH-7",Syntronik 2,,,,,,
Syntronik 2 String Box,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Eminent Solina/ARP String Ensemble,Syntronik 2,,,,,,
Syntronik 2 T-03,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Roland TB-303,Syntronik 2,,,,,,
Syntronik 2 V-80,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,"Yamaha CS-01
Yamaha CS-80
Yamaha GX-1",Syntronik 2,,,,,,
Syntronik 2 VCF3,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,EMS VCS3,Syntronik 2,,,,,,
Syntronik CATO,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Octave The Cat,,,,,,,
Syntronik GS-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Yamaha GS1,,,,,,,
Syntronik J-60,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Roland Juno-60,,,superceded by Syntronik 2 (different patches) ,,,,
Syntronik KW-8000,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Korg DW-8000,,,,,,,
Syntronik M-12,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Oberheim Matrix 12,,,,,,,
Syntronik Megawave,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Waldorf Microwave,,,,,,,
Syntronik Obie One,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Oberheim OB-1,,,,,,,
Syntronik OSC-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,OSC OSCar,,,,,,,
Syntronik Pro-VS,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Sequential Circuits Prophet VS,,,,,,,
Syntronik Sorcerer,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Moog Source,,,,,,,
Syntronik Syner-V,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Digital Keyboards Synergy ii+,,,,,,,
Syntronik Synth-X,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Elka Synthex,,,,,,,
Syntronik Triptych,IK Multimedia,Synth,Synth,,Modeled,Modeled,Syntronik 2,,,Korg Trident mkII,,,,,,,
Tenebra by The Newton Brothers,Spitfire Audio,"Sound Design, Pads & Textures","Pads & Textures, Sound Design","Plugin, Standalone",,,,1.0.1,"AU, VST3",,,,,,,,
