name,manufacturerName,Tags,System,Sorted System,Models,Notes,Instruments / Tags? 
Beyond Shadows,Arturia,,"Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, MiniFreak V, OP-Xa V, Pigments, Pure LoFI, SEM V3, Solina V2, SQ80 V, Wurli V3","Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, MiniFreak V, OP-Xa V, Pigments, Pure LoFI, SEM V3, Solina V2, SQ80 V, Wurli V3",,,
Folkloric Strings,Arturia,,"Aug. Strings, CMI V, CS-80 V4, Emulator II V, Jun-6 V, Mellotron V, MiniFreak V, Solina V2, Synclavier V","Aug. Strings, CMI V, CS-80 V4, Emulator II V, Jun-6 V, Mellotron V, MiniFreak V, Solina V2, Synclavier V",,,
Dream Theater Tribute,Arturia,,"B-3 V2 , CMI V , Emulator II V , Jup-8 V , OP-Xa V , Pigments, Piano V3","B-3 V2 , CMI V , Emulator II V , Jup-8 V , OP-Xa V , Piano V3, Pigments",,,
Beyond Soul,Arturia,,"B-3 V2, CZ V, Farfisa V, Pure LoFI, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Vocoder V, Wurli V3","B-3 V2, CZ V, Farfisa V, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Pure LoFI, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Vocoder V, Wurli V3",,,
Beyond Pop,Arturia,,"B-3 V2, DX7 V, Clavinet V, CS-80 V4, Emulator II V, Farfisa V, Jun-6 V, Mini V4, Jup-8 V, MiniFreak V, OP-Xa V, Piano V3, SEM V2, Pigments, Prophet-5, Prophet-VS, Solina V2, SQ80 V, Stage-73 V2, Wurli V3","B-3 V2, Clavinet V, CS-80 V4, DX7 V, Emulator II V, Farfisa V, Jun-6 V, Jup-8 V, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, Prophet-VS, SEM V2, Solina V2, SQ80 V, Stage-73 V2, Wurli V3",,,
Floyd Tribute III,Arturia,,"B-3 V2, Wurli V3, Synclavier V, Jup-8 V, Stage-73 V2, SQ80 V, Solina V2, Prophet-5, Pigments, Piano V3, MiniFreak V, Emulator II V, Mini V4, Jun-6 V, CMI V","B-3 V2, CMI V, Emulator II V, Jun-6 V, Jup-8 V, Mini V4, MiniFreak V, Piano V3, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Wurli V3",,,
ELP Tribute,Arturia,,"Clavinet V , Modular V2 , B-3 V2, Mini V4, CS-80 V4","B-3 V2, Clavinet V , CS-80 V4, Mini V4, Modular V2 ",,,
Daft Tribute,Arturia,,"CMI V , CZ V , Pigments, Prophet-5","CMI V , CZ V , Pigments, Prophet-5",,,
Kavinsky Tribute,Arturia,,"CMI V , Matrix-12 V2 , Modular V2 , Pigments, Solina V2, Synthi V, Buchla Easel V, Prophet-5, Mini V4","Buchla Easel V, CMI V , Matrix-12 V2 , Mini V4, Modular V2 , Pigments, Prophet-5, Solina V2, Synthi V",,,
Vangelis Tribute 3,Arturia,,"CS-80 V4 , Jup-8 V , Korg MS-20 V , Matrix-12 V2 , Mellotron V , OP-Xa V , Pigments, Prophet-5, SEM V2, Stage-73 V2, Piano V3","CS-80 V4 , Jup-8 V , Korg MS-20 V , Matrix-12 V2 , Mellotron V , OP-Xa V , Piano V3, Pigments, Prophet-5, SEM V2, Stage-73 V2",,,
JSPA,Arturia,,"CS-80 V4 , Korg MS-20 V , Prophet-5, SQ80 V","CS-80 V4 , Korg MS-20 V , Prophet-5, SQ80 V",,,
Lyli's Signature,Arturia,,"DX7 V , Mini V4","DX7 V , Mini V4",,,
MiniBrute Funk,Arturia,,MiniBrute V,MiniBrute V,,,
Fantasy Synths,Arturia,,MiniFreak V,MiniFreak V,,,
MiniFreak 4.0,Arturia,,MiniFreak V ,MiniFreak V ,,,
Synthetic Trap,Arturia,,MiniFreak V ,MiniFreak V ,,,
Timecop1983,Arturia,,"MiniFreak V, Jun-6 V, Prophet-5, OP-Xa V","Jun-6 V, MiniFreak V, OP-Xa V, Prophet-5",,,
Tangerine Tribute,Arturia,,"Modular V2 , Jup-8 V","Jup-8 V, Modular V2 ",,,
Kraft Tribute,Arturia,,"Modular V2 , Prophet-5","Modular V2 , Prophet-5",,,
Floyd Tribute,Arturia,,"Modular V2 , Solina V2","Modular V2 , Solina V2",,,
Toto Tribute,Arturia,,"Modular V2, Jup-8 V, DX7 V, CS-80 V4","CS-80 V4, DX7 V, Jup-8 V, Modular V2",,,
Ambient Explorations,Arturia,,Pigments,Pigments,,,
Bass Explorations,Arturia,,Pigments,Pigments,,,
Beats Explorations,Arturia,,Pigments,Pigments,,,
Cities in Dust,Arturia,,Pigments,Pigments,,,
Dubstep Explorations,Arturia,,Pigments,Pigments,,,
Evolving Electro,Arturia,,Pigments,Pigments,,,
Expressive Explorations,Arturia,,Pigments,Pigments,,,
Generative Voyage,Arturia,,Pigments,Pigments,,,
Granular Explorations,Arturia,,Pigments,Pigments,,,
Hazy Explorations,Arturia,,Pigments,Pigments,,,
Hypertechno Explorations,Arturia,,Pigments,Pigments,,,
IDM Explorations,Arturia,,Pigments,Pigments,,,
IDM Grooves,Arturia,,Pigments,Pigments,,,
Liquid Explorations,Arturia,,Pigments,Pigments,,,
Lofi Explorations,Arturia,,Pigments,Pigments,,,
M.Houle's Signature,Arturia,,Pigments,Pigments,,,
Modal Explorations,Arturia,,Pigments,Pigments,,,
Openworld Explorations,Arturia,,Pigments,Pigments,,,
Pigments 2.0,Arturia,,Pigments,Pigments,,,
Pigments 3.0,Arturia,,Pigments,Pigments,,,
Pigments 3.5,Arturia,,Pigments,Pigments,,,
Pigments 4.0,Arturia,,Pigments,Pigments,,,
Pigments 5.0,Arturia,,Pigments,Pigments,,,
Pigments 6.0,Arturia,,Pigments,Pigments,,,
Pigments 7.0,Arturia,,Pigments,Pigments,,,
Psychedelic Explorations,Arturia,,Pigments,Pigments,,,
Reggaeton Essentials,Arturia,,Pigments,Pigments,,,
Trap Explorations,Arturia,,Pigments,Pigments,,,
Undertaker EBM,Arturia,,Pigments,Pigments,,,
Stranger Synths,Arturia,,"Synthi V, Pigments, DX7 V, Buchla Easel V, Prophet-5","Buchla Easel V, DX7 V, Pigments, Prophet-5, Synthi V",,,
Nordic Tranquility,Arturia,,"Vocoder V, Stage-73 V2, Piano V3, Solina V2, Pigments, Mini V4, Mellotron V, Jup-8 V, Jun-6 V","Jun-6 V, Jup-8 V, Mellotron V, Mini V4, Piano V3, Pigments, Solina V2, Stage-73 V2, Vocoder V",,,
Daft Tribute II,Arturia,,"Wurli V3, Stage-73 V2, Prophet-5, Pigments, Piano V3, OP-Xa V, Mini V4, Korg MS-20 V, Jup-8 V, Jun-6 V, Emulator II V, Farfisa V, DX7 V, Clavinet V, Acid V","Acid V, Clavinet V, DX7 V, Emulator II V, Farfisa V, Jun-6 V, Jup-8 V, Korg MS-20 V, Mini V4, OP-Xa V, Piano V3, Pigments, Prophet-5, Stage-73 V2, Wurli V3",,,
M4L Big Three,Cycling '74,,Ableton Live,Ableton Live,,,
M4L Building Tools,Cycling '74,,Ableton Live,Ableton Live,,,
Max 7 Pitch and Time Machines,Cycling '74,,Ableton Live,Ableton Live,,,
Inspired by Nature,Dillon Bastan,,Ableton Live,Ableton Live,,,
Drumdrops Recording Hybrid Kit,Drumdrops,,Ableton Live,Ableton Live,,,
Grand Piano,e-Instruments,,Ableton Live,Ableton Live,,,
Guitar and Bass,e-Instruments,,Ableton Live,Ableton Live,,,
Session Horns Pro,e-Instruments,,Kontakt,Kontakt,,,
Cello Textures,Emergence Audio,,Kontakt,Kontakt,,,
Clarinet Textures,Emergence Audio,,Kontakt,Kontakt,,,
Double Bass Textures,Emergence Audio,,Kontakt,Kontakt,,,
Flute Textures,Emergence Audio,,Kontakt,Kontakt,,,
Infinite Bird Whistle,Emergence Audio,,Kontakt,Kontakt,,,
Infinite Steel Tongue,Emergence Audio,,Kontakt,Kontakt,,,
Infinite Upright,Emergence Audio,,Kontakt,Kontakt,,,
Quantum,Emergence Audio,,Kontakt,Kontakt,,,
Soprano Textures,Emergence Audio,,Kontakt,Kontakt,,,
Tenor Textures,Emergence Audio,,Kontakt,Kontakt,,,
Viola Textures,Emergence Audio,,Kontakt,Kontakt,,,
Violin Textures,Emergence Audio,,Kontakt,Kontakt,,,
Mountain Synth,Eric Corminier,,Reason,Reason,,Combinator; Thor,
DM ARP 2600 Drums,Flatpack,,Ableton Live,Ableton Live,,,
DM-307A Free Pack,Heavyocity,,Ableton Live,Ableton Live,,,
Analog Hybrid Drums,Heavyocity,,Kontakt,Kontakt,,,
Damage,Heavyocity,,Kontakt,Kontakt,,,
Damage 2,Heavyocity,,Kontakt,Kontakt,,,
Damage Drum Kit,Heavyocity,,Kontakt,Kontakt,,,
Damage Rock Grooves,Heavyocity,,Kontakt,Kontakt,,,
Dystropia,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Emotive Choir,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Nylon Guitar,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Piano,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Staccato Brass,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Staccato Strings,Heavyocity,,Kontakt,Kontakt,,,
Foundations - Synth Bass,Heavyocity,,Kontakt,Kontakt,,,
GP08 Vocalise 3,Heavyocity,,Kontakt,Kontakt,,,
Gravity 2,Heavyocity,,Kontakt,Kontakt,,,
Machina,Heavyocity,,Kontakt,Kontakt,,,
Schwarzonator 2,Henrik Schwarz,,Ableton Live,Ableton Live,,,
Generators,Iftah,,Ableton Live,Ableton Live,,,
Performance Pack,Iftah,,Ableton Live,Ableton Live,,,
Alan Parsons Imperial Grand,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Alternate Keys,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
American Acoustic,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Art Deco Piano,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Beat Machines,IK Multimedia,,SampleTank,SampleTank,,,
Billy Cobham Drums,IK Multimedia,,SampleTank,SampleTank,,,
Bionic Drums,IK Multimedia,,SampleTank,SampleTank,,,
Brandenburg Piano,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Cinematic Percussion,IK Multimedia,,SampleTank,SampleTank,,,
Clavitube,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Electric Grand C70P,IK Multimedia,,SampleTank,SampleTank,Yamaha C7?,SampleTank - Load,
Electronic Piano Bass,IK Multimedia,,SampleTank,SampleTank,Fender Rhodes Piano Bass,SampleTank - Load,
Elektronika - Chillout,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Deep House,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Drum'n'Bass,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Hardcore,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Indie Dance,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Minimal,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Techno,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Elektronika - Trance,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Extraterrestrial Saxophone,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Fractured Piano,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Future Synths,IK Multimedia,,SampleTank,SampleTank,,,
High Padgham Drums,IK Multimedia,,SampleTank,SampleTank,,,
Hitmaker - EDM,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Hitmaker - Reggaeton,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Hitmaker - Synthwave,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
Hitmaker - Trap,IK Multimedia,,SampleTank,SampleTank,,SampleTank - Load,
