Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
TS9 (Tube Screamer) ,Ibanez,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",TS9 Tube Screamer,"A hotter, more aggressive revision of the Tube Screamer with increased output and a slightly harder clipping character.",,,"Louder and sharper. Brighter and punchier with more bite in the upper mids, cutting through mixes more assertively.",,
WH10,Ibanez,"Modulation, Stomp","Modulation, Stomp",Ibanez WH10v3 (Reissue) ,"highly popular wah pedal . The guitar/bass range switch enables switching between two preset frequency ranges best suited for each instrument. This is also the first wah pedal to utilize a multiple feedback opamp circuit, creating a much different tonal quality versus more common inductor based wahs",,,,,
IVP,Intersound,Preamps & DI,Preamps & DI,,"IVP (Instrument Voicing Preamp) rare solid-state rackmount preamp known for its unique transformer-based ""Tube Voice"" overdrive, extensive 6-band EQ, and high-headroom clean tones. ",,late-70s,"offers a distinct, aggressive, and sometimes metallic distortion, making it a cult favorite for guitar and bass","Steve Albini, Bob Weir",
Decimator,ISP Technologies,"Dynamics, Stomp","Dynamics, Stomp",,"premier, highly responsive noise reduction system designed for electric guitars to eliminate hum and hiss, especially in high-gain rigs. ""clamps noise based solely on signal passing through it"" ",,,"widely used for its transparent, ""no-stutter"" performance, utilizing a single threshold knob for quick, accurate tracking of playing dynamics. Fast, transparent noise reduction that can feel abrupt if gain staging changes upstream.",,
Decimator G-String,ISP Technologies,"Dynamics, Stomp","Dynamics, Stomp",,Intelligent version of decimator. Keyed noise gate that tracks clean guitar signal while gating noisy gain stages separately,,,"more natural and musical gating (than Decimator) that stays tight w/o choking sustain even w/ high-gain rigs. ""Smarter gating that follows your playing, not your noise"" ",,
Archer,J-Rockett,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",J-Rockett Archer,exact tribute to the legendary Klon Ceentaur featuring germanium diodes and captures every nuance of the original unit ,,,,Gus G.,
Upright Toy Piano,Jaymar,Keyboard,Keyboard,,,,,,,
D120F,JBL ,Amp & Cab,Amp & Cab,,"12""; 50-100W Driver designed specifically for Fender amplifiers. ",,,"loud, clean, bright tones and high-mid punch","Duane Allman, Dickey Betts",
D130,JBL ,Amp & Cab,Amp & Cab,D130,"15"" Driver",,,,,
D130F,JBL ,Amp & Cab,Amp & Cab,,"15""; 60W Driver designed specifically for Fender amplifiers. ",,,,,
D140F,JBL ,Amp & Cab,Amp & Cab,,"18"" Driver designed specifically for Fender amplifiers. (Mostly for bass)",,,,,
Blackbird 40,Jensen,Amp & Cab,Amp & Cab,12 Blackbird 40,"JP12-40BB; 12"" 40W Alnico speaker",,,,,
Blackbird 100,Jensen,Amp & Cab,Amp & Cab,,"JP12-100BB; 12"" 100W Alnico speaker",,,"Highly refined tone. Powerful, warm bass range, balanced mids, sparkling highs, with both chime and smoothness. Excellent for the most high-end applications, where the details and the harmonic spread make a difference for the discerning users.",,
"12"" Field Coil Speaker",Jensen,Amp & Cab,Amp & Cab,,"12"" Field Coil Speaker. These are pre-WWII speakers. (Probably in early Gibsons) ",,,,,
C10Q,Jensen,Amp & Cab,Amp & Cab,C10Q,"10""; 35W. Primarily used in Vibrolux (Blackface) and VibroVerb (Brownface). ",,,,,
C10R,Jensen,Amp & Cab,Amp & Cab,C10R,Ceramic version of the P10R. (speaker of Blackface Princeton and Princeton Reverb) 25W,,,,,
C12K,Jensen,Amp & Cab,Amp & Cab,C12K,"12"", 100W, Ceramic, inspired by vintage ceramics. Fender amps in early 90s",,,"Substantially stronger voice, fullbass and smooth top end. ""Vintage tone w/ modern power"" ",,
C12N,Jensen,Amp & Cab,Amp & Cab,C12N,"12"", 50W. Used in Twin Reverb, Bassman, and Bandmaster. AKA ""Blue Back""",,,,,
C12Q,Jensen,Amp & Cab,Amp & Cab,C12Q,"12""; 35W. Common in Fender, Ampeg, Silvertone and Supro",,,"brighter, looser low end, earlier breakup (When compared to Fender CTS)",,
C15N,Jensen,Amp & Cab,Amp & Cab,C15N,"15""; 50W; Common in Fender Pro and Vibrolux as well as Leslie 122 and 147",,,first choice speaker for many pedal steel and blues players. ,,
C8R,Jensen,Amp & Cab,Amp & Cab,C8R,1x8;25W,,,,,
P10R,Jensen,Amp & Cab,Amp & Cab,P10R,,,,,,
P12Q,Jensen,Amp & Cab,Amp & Cab,P12Q,"12""/40W. Lower power alternative to P12N. Replaces P12R in many Fender Custom Series reissues.",,,,,
P12R,Jensen,Amp & Cab,Amp & Cab,P12R,,,,,,
P15N,Jensen,Amp & Cab,Amp & Cab,P15N,"15""; 50W. (One of the first speakers ever used in guitar amps.) Fender Bassman, Bandmaster",,,"warm, full bodied tone w/ deep basses and a nice, extended top end. ",,
JCA 100HDM,Jet City,Amp & Cab,Amp & Cab,JCA 100 HDM,Mike Soldano Mod,Mike Soldano,,,,
JCA 20H,Jet City,Amp & Cab,Amp & Cab,JCA 20H,Mike Soldano Mod,Mike Soldano,,,,
JCA48S,Jet City,Amp & Cab,Amp & Cab,,"4x12 cab. Part of the ""design by Soldano"" series. 280/140W. S = Straight. Default: Uses 12-5875 OEM based Eminence Legend Speakers. ",Mike Soldano,,,,
Morning Glory,JHS,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Morning Glory,,,,,,
JMI Vox Continental,JMI Vox,Keyboard,Keyboard,Vox Continental,"JMI (Jennings Musical Instrument, Vox parent company) Transistor based organ.",,1962-," Bright, cutting [rock, pop, psychedelic]",,
"""Deacy""",John Deacon,Amp & Cab,Amp & Cab,Deacy Amp,Guitar amp created by John Deacon for Brian May. Uses 1x6.5 inch ELAC 6RM/202,,1972,,Brian May,
J412V,Johnson,Amp & Cab,Amp & Cab,Johnson / DigiTech / Harman Amps,4x12 straight back cabinet. Default Driver: Celestion Vintage 30 (commonly modded),,,,,
Boss Tone,Jordan,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"legendary, compact plug-in fuzz/distortion unit, designed for maximum fuzz",,1967,"known for its aggressive, snarling and high sustain tones. ","Russell DaSheill (famous riff for ""Spirit in the Sky""/Norman Greenbaum) ",
10SC,Jupiter,Amp & Cab,Amp & Cab,10SC,"10"" 25W Vintage American ceramic guitar speaker. It's considered an upgrade replacement for a Jensen C10R",,,,,
BMG Treble Booster Classic,KAT (Knight Audio Technologies) ,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",BMG Treble Booster Classic,,,,,Brian May,
4 Knob Compressor,Keeley,"Dynamics, Stomp","Dynamics, Stomp",4 Knob Compressor,,,,,,
Centaur,Klon,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Klon Centaur,emulated the distortion of a guitar amp being played at high volume,"Bill Finnegan (Boston, MA) ",1994-2008,,"Jeff Beck, Joe Perry, John Mayer, Ed O'Brien (Radiohead) ",
Twintone,Koch,Amp & Cab,Amp & Cab,Twintone III Combo,"It features 100 editable program RAM locations, 20 distinct effect chains (using up to 6 simultaneous effects), and 41 effect types, including modulation, delay, reverb, and unique, high-quality, ""glassy"" modulation effects. Includes distortion, overdrive, compression, exciter, chorus, phaser, flanger, pitch shifters, and various delays/reverbs.",,80s-90s,"Known for its distinct 80s/90s, high-quality, and ""glassy"" digital effects, often used in studio recordings and live performances.",,
Upright,Koch & Korselt,Keyboard,Keyboard,,Upright grand piano from Bohemia (modern Czech Republic) ,,1915,"known for warm rich, resonant / powerful sound. ",,
Harmochord,Koestler,Keyboard,Keyboard,,"electric ""harmonium"" made in West Germany. ",,1960s,"popular w/ indie bands, (revival due to interest in unusual vintage instruments) ",,
A3,Korg,Multi Effects,Multi Effects,,,,,,U2 (Mysterious Ways) ,
DW-8000,Korg,Synth / Samplers,Synth / Samplers,DW-8000,updates version of Korg DW-6000 (Korg's first digitally controlled analoc synth) 8 voice polyphonic,,1985-87,,"Depeche Mode, Dream Theater, Joe Zawinul, Keith Emerson",
ElecTribe R (ER-1) ,Korg,Synth / Samplers,Synth / Samplers,ElecTribe R,synth + sequencer,,1990s,,"Orbital, Cirrus, Dan Hekate, Saulaterre, The Prodigy, YB70, 69db, MDFMK, Crystal Distortion, the Crystal Method, Massive Attack, and the Chemical Brothers.",
Kronos,Korg,Synth / Samplers,Synth / Samplers,Kronos,Music workstation with multiple synth engines,,,,,
M1,Korg,Synth / Samplers,Synth / Samplers,Korg M1,PCM Synthesizer,,1988-95,,Madonna (Vogue) ,
microKORG,Korg,Synth / Samplers,Synth / Samplers,"Korg microKORG
microKORG (Wiki) ","analog modeling sound generator, vocoder, synth",,2002,,,
MiniKorg 700,Korg,"Keyboard, Synth / Samplers","Keyboard, Synth / Samplers",MiniKorg 700,"Monophonic analog keyboard / synth. 2 VCOs (sawtooth, triangle, square), LFO",,1974,74,"The Cure, Human Leage, Vangelis, Stevie Wonder, The Cars",
Mono/Poly (MP-4),Korg,Synth / Samplers,Synth / Samplers,Mono/Poly (MP-4),paraphonic analog synthesizer,,1981,,,
MS-20,Korg,Synth / Samplers,Synth / Samplers,Korg MS-20,"semi-modular, dual filter analog monosynth",,1978,"raw, aggressive, experimental, gritty",,
MS-20,Korg,Synth / Samplers,Synth / Samplers,"Korg MS-20 (Korg)
Korg MS-20",Patchable semi-modular monophonic analog subtractive synth. 2 HP/LF filters. 2 VCA,,1978-83,,,
Nautilus,Korg,Synth / Samplers,Synth / Samplers,Nautilus,Music workstation with multiple synth engines,,,,,
PolySix,Korg,Synth / Samplers,Synth / Samplers,PolySix,6 voice polyphonic analog synth,,1981,,,
Prophecy,Korg,Synth / Samplers,Synth / Samplers,Prophecy,hybrid synthesizer,,1995,,,
PS-3300,Korg,Synth / Samplers,Synth / Samplers,"PS-3300
PS3300 (Vintage Synths) ",Super rare polyphonic synth (< 50 made) (Very early poly synth) ,,1974-81,,"Vangelis, Emerson, Lake and Palmer",
SDD-3000 Digital Delay,Korg,"Delay, Stomp","Delay, Stomp",SDD-3000,12-bit digital delay w/ 4 waveform types of feedback modulation. 5 I/O routing modes. ,,1982,"[ new wave, 80s synth, very common for guitar ]",,
Trident,Korg,Synth / Samplers,Synth / Samplers,Trident,polyphonic programmable instrument,,"1980, 1982 (mkII)",,"Rick Wakeman, Joe Zawinul",
Trinity  ,Korg,Synth / Samplers,Synth / Samplers,Trinity  ,"32 voice ""breakthrough"" synth",,1995-98,,"Dream Theater, Duran Duran, Rick Wakeman, Yes, Vangelis",
Triton,Korg,Synth / Samplers,Synth / Samplers,Korg Triton,workstation synth,,1999,,,
Triton Extreme,Korg,Synth / Samplers,Synth / Samplers,Korg Triton,workstation synth - expanded from original Triton,,2004,,,
Wavestation,Korg,Synth / Samplers,Synth / Samplers,Korg Wavestation,wavetable sequencer and vector synthesis,,1990,,,
X911,Korg,"Synth / Samplers, Modulation, Pitch Tools, Harmonic Coloration","Harmonic Coloration, Modulation, Pitch Tools, Synth / Samplers",X-911,"Intended to be a stand-alone guitar synth, but is now considered an all analog unique signal processor/effects unit. ",,,,,
Dynamic Overdrive,Landgraff,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"""Holy grail"" Tube Screamer variant. known for distinct ""vomit"" paint job. ",John Landgraff,,"3-way toggle switch for Tube Screamer, Dumble and Marshall style tones. ",,
GH50L,Laney,Amp & Cab,Amp & Cab,,,,,,,
GH50R,Laney,Amp & Cab,Amp & Cab,,,,,,,
VC30-212,Laney,Amp & Cab,Amp & Cab,VC30,"30W  Class A(Came in 112, 210, 212 combos) 2x12 EL84(4) ECC83(23) or 7025(3) Default Driver: HH Invader Vintage 35",,,,,
L47MP,Lawson,Microphone,Microphone,L47MP,large tube condenser. features the Lawson reproduction of the M7 capsule used in the legendary U47 and M49 microphones. ,,,,,
The Plate II,Lawson,Reverb,Reverb,,,Gene Lawson,1970s,"Used in Nashville, TN. Specific, desirable sound for vocal and instrumental recording. ",,
Omega,Lerxst,Amp & Cab,Amp & Cab,Omega,Alex Lifeson signature guitar head & flagship Omega head. Hand-built/Hand-wired. 50/25W (switchable)  clean/lead channels. 3-Band EQ. JJ EL34 (2) JJ 12AX7 (3),,,,Alex Lifeson,
Omega 4x12,Lerxst,Amp & Cab,Amp & Cab,Omega 4x12 Cabinet,"Modeled after producer Nick Raskulinecz's 1972 Marshall 2069 4x12 cabinet used by Alex Lifeson while recording ""Clockwork Angels"". Closed back / Straight.  Default Driver: Mojotone BV-25M",,,,,
122,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"Tube amp, balanced input (Hammond console pairing). Dual rotor (horn + drum) Sonically interchangeable w/ 122A, so I'll put all 122A clones here. ",Donald Leslie,,"smoother, darker, most recorded leslie sound. (This is the one)",,
147,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"Tube amp, unbalanced input (combo organs). ",,,"slightly hotter, more aggressive than 122",,
3300W,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"(Modern) solid state, very high power. Extremely loud, clean headroom. Designed for ""modern""  Hammonds",,,"Not vintage-voiced. Less ""syrupy"", more high-fi sounding. ",,
G37,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"Solid-state, smaller cabinet (""guitar-adjacent""). ",,,"less depth, quicker response than full cabs",,
Studio 12,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"Solid-state, compact. (studio/guitar friendly) ",,,"less low-end bloom. Faster, tighter swirl. ",,
Vibratone,Leslie,Amp & Cab,Amp & Cab,Leslie Speaker,"Leslie 122, 122A, 147, 3300w, G37, Studio 12",Donald Leslie,1947,,,
224 Digital Reverb,Lexicon,Reverb,Reverb,Lexicon 224 Digital Reverb,Defined sound of 80s; Classic digital reverb w/ 8 reverb algorithms and chorus,,1978,,,
480L,Lexicon,Reverb,Reverb,Lexicon 480L,"Classic Cinematic / Studio Reverb w/ 5 reverb algorithms, a 4-voice delay line, modulation, doubling, tremolo and chorus",,1986,,,
PCM 70,Lexicon,"Delay, Reverb","Delay, Reverb",,"""poor man's 224"". Known for llush reverbs and iconic, complex delays",,1980s,,,
Prime Time 93 Digital Delay,Lexicon,Delay,Delay,Lexicon Model 93 Super Prime Time Digital Delay,Mono delay w/ 2 independent taps. ,,1978,Daniel Lanois,,
Goatkeeper 2,Lightfoot,"Modulation, Stomp","Modulation, Stomp",Lightfoot Labs Goatkeeper 3,"analog, tap-tempo tremolo/sequencer pedal featuring a 2-stage LFO, 6 standard waveforms, and 5 user-definable waveforms. It utilizes a THAT Corp VCA",,,"offers advanced rhythm capabilities, allowing for unique, complex polyrhythmic sounds beyond standard, smooth, or percussive tremolo",,
IBP,Little Labs,Spatial Processing,Spatial Processing,Little Labs IBP,Phase Alignment Tool (eliminates hollow comb-filtering) w/ digital delay. Used for audio restoration and creative / tonal shaping. ,,,,,
"VOG "" Voice of God"" ",Little Labs,"Dynamics, EQ","Dynamics, EQ",Little Labs VOG,"Bass Resonance Tool. target and accentuate low-frequency material (vocals, bass, drums). ""Ultimate bass resonance tool for mixing"" ",,2009,,,
Camel Cigar Box Amp,Little Smokey Amplifiers,Amp & Cab,Amp & Cab,Camel Cigar Box Amp,9V 1W mini amp. Total novelty,Bruce Zinky,,,,
Black Oyster Pearl,Ludwig,Drums,Drums,,4-piece kit,,,"This is a great choice for classic vintage sound. Used by legendary rock bands and star drummers symbols of the 60s, this kit carries on a proud drumming legacy. ",Ringo Starr,
Vistalite,Ludwig,Drums,Drums,Ludwig Vistalite,"5-piece set (""Zep"")",,,"(70s) Once upon a time, there was a hard-hitting rock ‘n’ roll drummer from the 70s with a larger-than-life stage presence. He was the one and only. This solid plexiglass drum kit delivers a pure, round tone through a fully-stabilized shell and dual-reinforced seams.",John Bonham,
Stereo Tube EQ,Lurssen Mastering,EQ,EQ,,"Custom designed tube-based EQ with fixed tuned frequencies and a proportional Q design [ Gavin Lurssen, Rueben Cohen ]",Gavin Lurssen,,"Smooth, musical tonal shaping.",,
Cab 112,M-Tech Audio,Amp & Cab,Amp & Cab,Cab 112,1x12 Closed-back cabinet. Options are Jensen / Celestion. Default Driver: Celestion Vintage 30s,,,,,
Cab 212,M-Tech Audio,Amp & Cab,Amp & Cab,CAB 212,2x12 Closed-back cabinet. Options are Jensen / Celestion. Default Driver: Celestion Vintage 30s,,,,,
EQ4M,Maag Audio,EQ,EQ,Maag EQ4M," 6-band EQ w/ ""Air Band"", silky highy end presence w/o harshness",,,,,
BB-1 Bass Brassmaster,Maestro,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"legendary, rare, and highly sought-after bass fuzz pedal,  It features a, built-in harmonic generator/ring modulator, a robust, large, and distinctive metal housing, and simple controls to balance clean and fuzz. ",,1970s,"famous for its aggressive, synth-like tones and its unique blend of clean and distorted signals.",Chris Squire (Yes) ,
BG-2 Boomerang,Maestro,"Modulation, Stomp, Dynamics","Dynamics, Modulation, Stomp",,dual wah / volume pedal,,late 60s - 70s,known for throaty expressive tone. ,Frank Zapppa,
Echoplex EP-1,Maestro,Delay,Delay,Echoplex,"Mike Battles pioneering tube-driven tape delay unit. ""O.G"" Tape Delay. First delay unit to feature a sliding record head for adjustable delay times. ",Mike Battle ,early 1960s,"warm, organic and satured echo sounds. Famous for the (first?) slapback echo and along, trailing, ambient delays. Soft, dark, compressed repeats with pitch wander and bloom.",,
"Echoplex EP-3
Echoplex EP-4",Maestro,Delay,Delay,Echoplex,"classic 1/4"" tape echo/delay. ","Mike Battle, Don Dixon",1970,"EP-3 was heavily used by guitarists. EP-4 not so much due to the noise reduction circuit. Clearer, brighter repeats (from the EP-1) with a focused mid push and tighter modulation.",,
FZ-1 Fuzz Tone,Maestro,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Maestro Fuzz Tone,First widely marketed fuzz distortion guitar / bass effect. ,,1962,"Thin, raspy, gated fuzz with sharp attack and rapid decay.","Keith Richards (Satisfaction), Jimi Hendrix",
FZ-1B Fuzz Tone,Maestro,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Maestro Fuzz Tone,Revised FZ-1 w/ a new sound and a Robert Moog designed circuit. ,,1968,Slightly fuller and smoother fuzz with more sustain and less gating,Keith Richards (Satisfaction) ,
260,Magnatone,Amp & Cab,Amp & Cab,,"35-watt, 2x12 tube combo amplifier famous for its true pitch-shifting varistor-based vibrato (stereo-capable). It features two channels with separate volume, treble, and bass controls, powered by 5881 or 6L6 tubes. Key features include Oxford 12"" speakers",,1957-62,,,
Digital Echo & Ping Pong Delay,Manea,"Delay, Stomp","Delay, Stomp",,,,,,,
Langevin CR-3A,Manley,Microphone,Microphone,Langevin CR-3A, large cardioid capacitor microphone suitable,,,,,
Massive Passive ,Manley,EQ,EQ,Manley Massive Passive,"4-band passive tube EQ w/ 5 controls per band. LPF / HPF (passive -> resistors, inductors + capacitors) [Inspired by Pultec] ",,,,,
Massive Passive Mastering,Manley,EQ,EQ,Manley Massive Passive,"dual-channel (STEREO / MASTERING), 4-band passive tube EQ w/ 5 controls per band. LPF / HPF (passive -> resistors, inductors + capacitors) [Inspired by Pultec] ",,,,,
Reference Gold,Manley,Microphone,Microphone,Reference Gold,large-diaphragm tube condenser,,,bass,,
Variable-Mu,Manley,Dynamics,Dynamics,Manley Variable Mu,"(""King of the 2 Bus"") tube / transformer driven compressor / limiter w/ 5 operating modes. Based on ""6BA6 T-BAR Tube Mod"". uses ""remote cutoff"" style gain reduction (Fairchild and other limiters). Classic dual-triode gain reduction is constantly re-biased by SC control voltages. ",,1994,"Warm, creamy sound. Colored tone. Velvety smooth gain reduction w/ warm harmonic content free of artifacts.",,
VOXBOX,Manley,Channel Strip,Channel Strip,Manley VOXBOX,"boutique ""vocal channel"" ""alive"" Class A tube mic preamp; 3-band passive EQ (based on MEQ-5), opto-isolater compressor (LA-2A) + opto-isolator de-esser / limiter.",,1997,"  [ De-esser can be used on overheads, strings and guitar]",,
Orion,Mapex,Drums,Drums,,Mapex Orion,,,,,
LIttle Mark II,Markbass,Amp & Cab,Amp & Cab,LIttle Mark II,,,,,,
Mini CMD 121P,Markbass,Amp & Cab,Amp & Cab,Mini CMD 121P,,,,,,
TTE 500,Markbass,Amp & Cab,Amp & Cab,TTE 500,,,,,,
100JH,Marshall,Amp & Cab,Amp & Cab,,LImited Edition Jimi Hendrix,,2006,,,
1922 2x12,Marshall,Amp & Cab,Amp & Cab,1922 2x12,"Straight, Closed back. 75W Stereo/150 Mono. Default: 2 x G12T-75",,,,,
1935A,Marshall,Amp & Cab,Amp & Cab,,"Angled, closed back 100W bass cab. 4x12 Default Driver: G12M (55) Blackback",,1960s-80s,,,
1936,Marshall,Amp & Cab,Amp & Cab,1936 2x12 Closed Back,"Straight, Closed back. 75W Stereo/150 Mono. Default: 4 x G12T-75, late 80s to current.",,,,,
1959 Super Lead Plexi,Marshall,Amp & Cab,Amp & Cab,Marshall Super Lead,"SLP = Super Lead Plexi; JMP (Jim Marshall Products) 100W. aka Marshall JMP 100W ""Legendary"".  2 channels (Ch I - bright, present; Ch II - dark; full-bodied) References to Super Lead MkII land here as well.",,1968,"Similar in design to the Super Bass, but with a big reduction in bottom end and an increase in available gain, the Super Lead is where rock rhythm guitar tones live. Lots of crunch, no flabbiness, even some saturation when pushed hard. Brash, rude, instantly recognizable sound of rock'n' roll rebellion.","Pete Townshend, Jimi Hendrix, Eric Clapton, Jeff Beck, Jimmy Page, Eddie Van Halen, Angus Young (Highway to Hell, Back in Black), Yngwie Malmsteen",
1959 Super Lead Plexi HW,Marshall,Amp & Cab,Amp & Cab,Marshall Super Lead,Handwired reissue,,,,,
1960A,Marshall,Amp & Cab,Amp & Cab,1960A 4x12 Angled Cabinet,"Angled, Closed back. 150W Stereo/300W Mono.  Default: 4 x G12T-75, late 80s to current. [NOTE JCM800 and JCM900 were sometimes added to the description.]",,,,,
"1960A ""Stain""",Marshall,Amp & Cab,Amp & Cab,1960A 4x12 Angled Cabinet,"Angled, Closed back. 150W Stereo/300W Mono.  Default: 4 x G12T-65 [NOTE: This is an IK Multimedia model that is prevalent in TONEX, it MAY have been a common customization in the real world]",,,,Joe Satriani,
1960A Basketweave,Marshall,Amp & Cab,Amp & Cab,Marshall Basketweave,"Slanted, Open back amp from the 60s. 4x12; 80W. Default: G12M  Greenbacks",,1968,,,
1960AV,Marshall,Amp & Cab,Amp & Cab,1960AV 4x12 Angled Cabinet,"Angled, Closed back. 140W Stereo280W Mono.  Default: 4 x Vintage 30s",,,,,
1960AX,Marshall,Amp & Cab,Amp & Cab,1960AX 4x12 Angled Cabinet,"Angled, Closed back. 100W.  Default: 4 x G12M-25 (Aka G12M Greenbacks) ",,,,,
1960B,Marshall,Amp & Cab,Amp & Cab,Marshall 1960B 4x12,"Straight, Closed back. 150W Stereo/300W Mono.  Default: 4 x G12T-75, late 80s to current.",,,,,
1960BV,Marshall,Amp & Cab,Amp & Cab,1960BV Straight Cab,"Straight, Closed back. 140W Stereo280W Mono.  Default: 4 x Vintage 30s",,,,,
1960TV,Marshall,Amp & Cab,Amp & Cab,1960TV 4x12 Tall Angled Cabinet,"Angled, Closed back. 100W.  Default: 4 x G12M-25 (Aka G12M Greenbacks) ",,,,,
1965A,Marshall,Amp & Cab,Amp & Cab,,,,,,,
1974X,Marshall,Amp & Cab,Amp & Cab,1974X Handwired Combo,,,,,,
1982A,Marshall,Amp & Cab,Amp & Cab,1982A,(Commonly paired w/ JCM800) Slanted 400W closed back 4x12 Default Driver Celestion G12H-100,,1980s,,,
1987 Super Lead Plexi,Marshall,Amp & Cab,Amp & Cab,Marshall Super Lead,SLP = Super Lead Plexi; JMP (Jim Marshall Products) 50W,,,,,
1990 Lead 8x10,Marshall,Amp & Cab,Amp & Cab,,"rare vintage ""basketweave"" slanted, closed back cab designed for ""small box"" marshall heads. (originally 80W, increased to 100W in 1973) [commonly paired w/ Plexi heads. ] 8x10 Default Driver: Celestion G10 ""Red Back""",,1960s-70s,"punchy, tight sound",J Mascis,
1992 Super Bass Plexi,Marshall,,Amp & Cab,,"SBP = Super Bass Plexi; JMP (Jim Marshall Products) 100W (1968 is the ""default"" model)",,1968 - 71,"Great for cleaner tones, fat rhythm tones, and bass. The Super Bass is often chosen by guitarists for its smoothness, richness, and ability to take pedals. All of your Hendrix dream tones are in here. ","Eddie Van Halen, Jimi Hendrix, Led Zeppelin, AC/DC",
"2054
2056",Marshall,Amp & Cab,Amp & Cab,Marshall 2054 Cabinet,"125W closed back vintage cab. Celestion Powercel 15/125  [2054 = 1x15, 2056=2x15]",,1974,,,
2061X,Marshall,Amp & Cab,Amp & Cab,,,,,,,
2065,Marshall,Amp & Cab,Amp & Cab,,125W closed back vintage cab. Celestion Powercel 15/125,,,,,
2551A,Marshall,Amp & Cab,Amp & Cab,,"(Paired w/ 1987 Silver Jubilee) Angled, Closed back. 280W.  4x12 Default: Celestion G12T-75",,1987,,Slash,
4140 Club & Country,Marshall,Amp & Cab,Amp & Cab,4140 Club & Country,2x12 100W Combo; EL34 Default: G12-65 ,,1978-81,,,
6100 30th Anniversary ,Marshall,Amp & Cab,Amp & Cab,,,,,,,
6100LM 30th Anniversary ,Marshall,Amp & Cab,Amp & Cab,,LM = Lead Mod (Hotter variant of 6100),,,,,
AFD100,Marshall,Amp & Cab,Amp & Cab,,"AFD = ""Appetite for Destruction""; Slash Signature",,,,,
Bluesbreaker  ,Marshall,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Bluesbreaker (Reissue) ,"classic, low-gain overdrive pedal",,1991,"designed to emulate the warm, smooth, and natural breakup of the 1962 Marshall Bluesbreaker combo amp. Renowned for its transparent boost and dynamic responsiveness, it is a favorite for adding grit to solos without losing the guitar's original tone",,
Bluesbreaker 1962,Marshall,Amp & Cab,Amp & Cab,Marshall Bluesbreaker,Marshall's first combo. 30W 2x12 named for Eric Clapton /w John Mayall and the Blues Breakers; ,,1964 - 72,warm + crunchy,"Eric Clapton, John Mayall and The Bluesbreakers",
Drivemaster,Marshall,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Drivemaster (Reissue) ,"analog distortion/overdrive pedal featuring a durable steel chassis and 3-band EQ (Bass, Middle, Treble), ",,,"designed to emulate a JCM800 amplifier. More open (than Guv'nor) , less compressed drive with softer highs and greater dynamic response",,
JCM 25/50 2555 Silver Jubilee,Marshall,Amp & Cab,Amp & Cab,,3 channels. Switchable Power Amp (pentode/triode) ,,1987,,"Slash, John Frusciante, Alex Lifeson",
JCM2000 DSL100,Marshall,Amp & Cab,Amp & Cab,,DSL = Dual Super Lead,,,"More open, less compressed drive with softer highs and greater dynamic response",Joe Satriani,
JCM2000 TSL100,Marshall,Amp & Cab,Amp & Cab,,TSL = Triple Super Lead,,,,Joe Satriani,
JCM800 2203,Marshall,Amp & Cab,Amp & Cab,JCM800 2203 Reissue,100W,,1981-82,,,
JCM800 2203KK,Marshall,Amp & Cab,Amp & Cab,,Kerry King Signature Head,,,,,
JCM800 2203ZW,Marshall,Amp & Cab,Amp & Cab,,ZW = Zakk Wylde Signature Series,,,,,
JCM800 2204,Marshall,Amp & Cab,Amp & Cab,,50W,,1981,,,
JCM900 2100 ,Marshall,Amp & Cab,Amp & Cab,,(MkIII - first edition pre-SL-X which was a higher gain version) 100W; EL34(4) or 5881(4); 12AX7,,1990-92,"bright, aggressive, and sometimes ""saggy"" feel with tight, fast-attack distortion. often considered a ""transitional"" Marshall that bridges the gap between classic crunch and modern high-gain, often preferred by 90s rock and metal players for its raw sound. ",,
JCM900 4100,Marshall,Amp & Cab,Amp & Cab,JCM900 4100 Reissue,100W,,1990,"great rock tone, leads, heavy crunch. righter, gain-heavy, sometimes ""fizzy"" tone, less ""ballsy"" ",,
JH-1 Jackhammer,Marshall,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"versatile, high-gain distortion and overdrive pedal designed to replicate Marshall amplifier tones. Known for being ruggedly built. Overdrive and distortion modes",,,"allows for extensive EQ shaping, specifically for heavy metal to classic rock",,
