Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
ATM25,Audio Technica,Microphone,Microphone,ATM25,High intensity Hypercardioid Dynamic Instrument Microphone,,,,,
ATM31,Audio Technica,Microphone,Microphone,ATM31,vocal small condenser microphone with a fixed-charge electret capsule,,,vocal,,
CX111,Audix,Microphone,Microphone,CX111,one of Audix’ first large-diaphragm condenser mics,,1998,,,
D1 ,Audix,Microphone,Microphone,D1 ,hypercardioid small dynamic microphone intended for instrument use,,,,,
D4,Audix,Microphone,Microphone,D4,professional dynamic instrument mic,,,,,
D6,Audix,Microphone,Microphone,D6,professional cardioid dynamic instrument mic,,,"American kick drum mic. Deep bass, contoured sound [ kick, bass amp]",,
OM2,Audix,Microphone,Microphone,OM2,all-purpose professional dynamic vocal mic,,,vocal,,
OM3xb,Audix,Microphone,Microphone,OM3xb,dynamic hypercardioid,,,,,
OM5,Audix,Microphone,Microphone,OM5,"concert level, professional dynamic vocal mic",,,"vocals; live sound, broadcast, studio",,
OM6,Audix,Microphone,Microphone,OM6,"concert level, professional dynamic vocal mic",,,"vocals; live sound, broadcast, studio",,
SCX1,Audix,Microphone,Microphone,SCX1,professional studio quality cardioid small condenser mic,,,,,
VT 737sp Channel Strip,Avalon Design,Channel Strip,Channel Strip,Avalon Design VT 737sp Channel Strip,"best-selling channel strip ever made [ transformer coupled, dual tube feedback styled mic preamp; tube opto-compressor; high-voltage class A 4-Band parametric EQ (Active and Passive)] ",,1985,"[pop, hip-hop, R&B]",,
Tube Driver,B.K. Butler,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",B.K. Butler Tube Driver,"(Same as Chandler Tube Driver, but no longer marketed as Chandler) a legendary, high-voltage overdrive pedal featuring a 12AX7 vacuum tube ",Brent Butler,1978-,"warm, compressed, and rich tones","Eric Johnson, David GIlmour, Billy Gibbons, Joe Satriani",
Solid Body Harpsichord,Baldwin ,Keyboard,Keyboard,,"Developed by Cannon Guild, marketed by Baldwin",,1960s,60s/70s pop,"""Odd Couple"" theme, Beatles(Because), Monkees, Partridge Family",
G-Screamer OG-1,BBE,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,Gus G's signature overdrive. ,,,ideal for rock / metal,Gus G (Firewind) ,
